binary_score (1:good   0: bad),news_title,news_writer,news_written_date,news_text,news_url
0,COVID-19 cases (July 1),['THE ASAHI SHIMBUN'],"July 2, 2021 at 11:30 JST",,https://www.asahi.com//ajw/articles/14385829
0,Spreading virus threatens plans to let spectators attend Olympics,['THE ASAHI SHIMBUN'],"July 1, 2021 at 18:55 JST"," The resurgent number of new COVID-19 cases in Tokyo has raised concerns among government officials that the Olympic Games could be held without spectators after all. Health experts on June 30 warned the government against lifting COVID-19 pre-emergency measures for Tokyo as scheduled on July 12, saying newly confirmed infections in the capital have neared the most serious stage 4 level concerning the spread of the virus. They said now is the time for a quick response to the new outbreaks, not an easing of the anti-virus measures. Data from an expert panel advising the health ministry showed the number of new cases per 100,000 people came to 24.59 in Tokyo in the most recent week, up 25 percent from the preceding week. If the number is 25 or higher, it indicates a stage 4 situation. “It would not make sense to lift the pre-emergency measures as scheduled,” said Kazuhiro Tateda, professor of infectious diseases at Toho University and a member of the panel. Tokyo reported 673 new COVID-19 cases on July 1, 103 more than a week ago. It was the 12th straight day for the daily count to increase from the previous week. One factor behind the rising numbers is the spread of the Delta variant, which was first identified in India and is far more contagious than the strain that swept across Japan last year. The National Institute of Infectious Diseases estimates that the Delta variant will cause more than half of all new COVID-19 cases in Japan by the middle of July, up from roughly 30 percent at the end of June. The daily number of new cases in Tokyo will top 1,000 by the end of July, according to an estimate by Kyoto University and the NIID. But that figure was based on the “most optimistic scenario” of a small impact from the Delta variant and no increase in people’s movement during the Summer Games. The Opening Ceremony for the Olympics is scheduled for July 23. The health experts said strong measures to swiftly deal with the current situation, such as declaring another state of emergency, coupled with the acceleration of the vaccination program could help Tokyo keep open more than half of its hospital beds for seriously ill COVID-19 patents. But if such decisions are delayed, hospitals will be flooded with patients, they added. Senior officials of the Suga administration are growing worried about the resurgence in Tokyo because it could jeopardize plans to allow spectators to attend the Olympic Games. The central and Tokyo metropolitan governments, as well as the Tokyo Olympic organizing committee and other organizations, agreed on June 21 to let fans fill half of the competition venues up to a maximum of 10,000 people. The agreement was based on the assumption that pre-emergency measures in Tokyo would be lifted on July 12. But they also decided that holding the Summer Games without spectators would be an option if a fourth state of emergency is declared for the capital or if the pre-emergency period is extended beyond the original deadline. Suga has said he wants the Olympic events to be held with spectators. The prime minister is seeking to avoid declaring a state of emergency because it would effectively rule out allowing spectators in the stands. Such an emergency declaration would also call into question the legitimacy of Suga’s statement that holding the Tokyo Olympics would be “proof that humanity has defeated the novel coronavirus.” If the pre-emergency measures are extended in the capital, the government is expected to make a “political” decision over the spectator number. However, calls have grown for a no-spectator decision if the Games are held under pre-emergency measures. A senior Diet member of Suga’s Liberal Democratic Party said the words “state of emergency” have a negative ring, and they would hurt Japan’s image at home and abroad if such a declaration is in place during the Olympics. An aide to the prime minister, echoing other officials’ views, pointed to a possible solution for the growing health problem: “Vaccines can be game changers.” The vaccine program to inoculate people 65 or older, an age group most susceptible to serious symptoms if infected, has made progress. In Tokyo, patients in their 60s or older represented about 20 percent of new infection cases as of January. But their share dropped to below 10 percent in the most recent week. Some senior members of the Suga administration said the hospital system in the capital could avoid being overstretched if the number of new COVID-19 patients in the vulnerable older age groups declines, even if the overall figure increase. “The coronavirus will become just an ordinary cold if it does not cause severe symptoms,” said a high-ranking official at the prime minister’s office. The official indicated that the administration could sidestep the emergency issuance by citing the status of the health care system, one of factors that must be weighed before deciding on such a declaration. However, such an approach would likely fuel criticism that the Suga administration is putting the Olympics above everything else, including the safety of the people it represents, in the pandemic. More than 14,500 people in Japan have died from COVID-19. “Even if the government says a spike in new cases is no big deal if patients do not become seriously ill, few outside the government will buy it,” said another senior official at the prime minister’s office. “I am afraid that the government will not be able to gain support from health experts, either.” (This article was compiled from reports by Jun Tabushi, Ko Nagata, Kai Ichino, Hiroshi Ishizuka and Kohei Morioka.)",https://www.asahi.com//ajw/articles/14385113
0,"Tokyo reports 673 new COVID-19 cases, up 103 from week ago",['THE ASAHI SHIMBUN'],"July 1, 2021 at 18:13 JST"," Tokyo logged 673 new COVID-19 cases on July 1, according to metropolitan government officials, as an uptick in new infections in the capital continues. The number was an increase of 103 over the previous Thursday and marked the 12th straight day the daily tally exceeded that of the same day of the previous week. Tokyo also reported two deaths from COVID-19 on July 1. The daily average of cases for the week ending July 1 was 523.1, which represented a 19 percent increase over the previous week. The three-day average as of June 30 of government-administered COVID-19 tests was 8,946.7. The capital's number of COVID-19 patients with serious symptoms requiring the use of a ventilator or other equipment to breathe stood at 51, up four from the previous day. Of the latest cases, 207 patients were in their 20s, 155 in their 30s, 95 in their 40s and 89 in their 50s. Thirty-two were 65 or older.",https://www.asahi.com//ajw/articles/14385288
0,COVID-19 cases (June 30),['THE ASAHI SHIMBUN'],"July 1, 2021 at 13:22 JST",,https://www.asahi.com//ajw/articles/14385082
0,Olympic teams to be quarantined if even 1 member tests positive,['THE ASAHI SHIMBUN'],"June 30, 2021 at 19:05 JST"," All members and staff of an Olympic delegation will be isolated if at least one of them tests positive for the novel coronavirus after entering Japan for the Tokyo Games, according to the top government spokesman. “If infections (among an Olympic delegation) were confirmed at a host town or elsewhere, all athletes and their staff will be isolated in private rooms and barred from taking part in (training and other) activities,” Chief Cabinet Secretary Katsunobu Kato said at a news conference on June 30. “They can resume their activities unless they are confirmed to have come into close contact with patients and been infected with the virus in a retest.” The government will revise its manuals for host towns accepting Olympic teams from overseas to include the new anti-infection measures. Kato said the government held a meeting on the morning of June 30 to explain the new policy to concerned municipalities. He also revealed how the government intends to handle cases where members or staff of an Olympic delegation test positive at airport quarantine checks. Kato said the government plans to identify people who may have come into close contact with the infected individuals while traveling to Japan and transport them to their accommodations separately by bus. According to sources, those found in close contact with an infected individual will be quarantined at a hotel in Tokyo or surrounding prefectures if it takes five hours or more by vehicle from the airport to the team ’ s host town. If it takes less than five hours, the close contacts will be transported to the host town. It takes five hours or more if the host town is about 300 kilometers away, the sources said. The policy will be in place from July 1 through July 12 before the Olympic village opens. Kato previously said officials at the athletes’ host towns would be responsible for coordinating with local public health centers to determine who had been exposed to the virus from athletes or team staff confirmed to be infected by airport quarantine checks. But the government has come under fire after the Ugandan delegation was allowed to travel to their host city, Izumisano, Osaka Prefecture, without undergoing inspection to identify who may have come into close contact with a coach who tested positive at Narita Airport outside Tokyo on June 19.",https://www.asahi.com//ajw/articles/14384473
0,Tokyo’s daily COVID-19 cases top 700 for first time in a month,['THE ASAHI SHIMBUN'],"June 30, 2021 at 18:13 JST"," Tokyo logged 714 new COVID-19 cases on June 30, the first time daily cases topped 700 in the capital in more than a month, according to metropolitan government officials. The number was an increase of 95 over the previous Wednesday and the 11th straight day the daily tally exceeded that of the same day of the previous week. Tokyo also reported three deaths from COVID-19 on June 30. The last time the capital had more than 700 COVID-19 cases in a single day was May 26. The daily average of cases for the week ending June 30 was 508.4, which represented a 20.3-percent increase over the previous week. The three-day average as of June 29 of government-administered COVID-19 tests was 6,854.3. The capital's number of COVID-19 patients with serious symptoms requiring the use of a ventilator or other equipment to breathe stood at 47, up four from the previous day. Of the latest cases, 201 patients were in their 20s, 143 in their 40s, 132 in their 30s and 94 in their 50s. Forty-two were 65 or older.",https://www.asahi.com//ajw/articles/14384489
0,Japan gives up on restarting workplace vaccine program,['THE ASAHI SHIMBUN'],"June 30, 2021 at 17:40 JST"," Japan will abandon restarting its highly touted mass vaccination campaign at workplaces and universities because demand for the doses has far exceeded supply, government sources said. Inundated by applications from companies and universities, the government stopped accepting new ones as of 5 p.m. on June 25. The inoculation campaign uses the Moderna vaccine. Taro Kono, the administrative reform minister who is in charge of the COVID-19 vaccine rollout, has said Japan will not order additional supplies of Moderna vaccines. At a news conference on June 29, Kono said he “will announce a policy of some kind” this week. The announcement will likely be the decision not to restart that vaccination program, according to the sources. The government started scrutinizing the applications to see if companies and universities have requested more doses than they need. But a top official of the prime minister’s office said, “It is difficult to continue using Moderna vaccines for the workplace project.” The government has promised to distribute 50 million doses of the Moderna vaccine, enough to inoculate 25 million people, by the end of September. Of that volume, 33 million doses are expected to go to companies that can inoculate at least 1,000 people as well as universities. The application process began on June 8, and some companies and universities started inoculating staff and students from June 21. As of 5 p.m. on June 25, applications for about 36.42 million doses were filed in the company-university program. According to the sources, the remaining 17 million Moderna doses are expected to be used by local governments. “Any leftover doses should be diverted to the mass vaccination programs of local governments,” the official at the prime minister’s office said. Applications for about 12 million doses have been approved for local governments’ mass vaccination sites, while applications for another 12 million or so doses have been received but approval is pending. To cover the expected shortage of Moderna vaccines for these sites, the government will divert Pfizer vaccines from municipal governments’ vaccination programs.",https://www.asahi.com//ajw/articles/14384199
0,Suga’s promise to vaccinate the elderly by August remains elusive,['THE ASAIH SHIMBUN'],"June 30, 2021 at 17:10 JST"," More than half of people 65 or older have now received at least one COVID-19 vaccine shot, government statistics reveal. But the current pace of the rollout raises questions over whether Prime Minister Yoshihide Suga’s goal of having all elderly people who want to receive it complete the two-dose vaccination process by the end of July is within reach. According to data released through the website of the prime minister’s office, about 20.67 million people who are 65 or older, or 58 percent, have received their first dose of the Pfizer vaccine as of June 28. Only about 8.66 million elderly people, or 24 percent, have received two shots and completed the inoculation process. Meanwhile some 14.81 million seniors, or 42 percent, have yet to start the process. Suga declared his “by the end of July” target for the first time at a news conference on April 23, after he decided to issue the third state of emergency for Tokyo and three prefectures. “The government as a whole will undertake the task so that each local government can administer vaccines twice to all elderly people who want to be vaccinated by the end of July,” he said. Suga’s aides were even more optimistic about the timetable. “All elderly people who want to be vaccinated will receive at least the first shot by the end of June,” one aide had said initially. But to meet the government’s end of July deadline, a hefty number of elderly people must receive their first shot by July 10 because the Pfizer vaccine requires a three-week waiting period between administering the first and second shots. (This article was written by Junya Sakamoto, Masatoshi Toda and Hiroki Koizumi.)",https://www.asahi.com//ajw/articles/14384339
1,"Governor Koike released from hospital, will work from home",['THE ASAHI SHIMBUN'],"June 30, 2021 at 14:30 JST"," Tokyo Governor Yuriko Koike on June 30 was discharged from a hospital after recuperating from fatigue and said she will follow her doctor’s advice to work remotely from home. “I will continue to recuperate and try to improve my health condition for an early and full recovery and to return to my official duties,” Koike, 68, said in a statement following her release. The governor on June 22 said she would take time off work because of extreme exhaustion. She stayed in the hospital for about one week. Tokyo Vice Governor Mitsuchika Tarao took over the governor’s duties during her absence. Koike’s statement also mentioned the Tokyo assembly election scheduled for July 4. “I am sorry for causing concerns during an important period like the election campaign,” she said. “I would like to send a cheer to the assembly members, who continue to proceed with reforms and protect traditions, while the Tokyo government tackles a number of issues, such as taking measures against COVID-19.”",https://www.asahi.com//ajw/articles/14384262
0,COVID-19 cases (June 29),['THE ASAHI SHIMBUN'],"June 30, 2021 at 11:30 JST",,https://www.asahi.com//ajw/articles/14384233
0,"Tokyo logs 476 cases, 10th day in a row of increase from a week ago",['THE ASAHI SHIMBUN'],"June 29, 2021 at 18:21 JST"," Tokyo recorded 476 new COVID-19 cases on June 29, 41 more than a week ago, and four new deaths from the coronavirus, metropolitan health officials said. The latest daily count of new infections in the capital marked the 10th straight day the number has surpassed the figure of a week earlier. The seven-day average of new cases over the week through June 29 was 494.9, an increase of 21.9 percent of the figure for the preceding week. The three-day average of tests conducted through June 28 stood at 5,407.3. Of the new cases, patients in their 20s formed the largest group, at 136. They were followed by 83 in their 30s, 81 in their 40s and 69 in their 50s. Patients aged 65 or older totaled 33. The number of serious COVID-19 cases requiring ventilators or an extracorporeal membrane oxygenation (ECMO) device, which circulates blood through an artificial lung, stood at 43, up two from the previous day.",https://www.asahi.com//ajw/articles/14383711
0,COVID-19 cases (June 28),['THE ASAHI SHIMBUN'],"June 29, 2021 at 11:30 JST",,https://www.asahi.com//ajw/articles/14383461
0,Tokyo’s daily COVID-19 cases up week on week for 9th day,['THE ASAHI SHIMBUN'],"June 28, 2021 at 18:45 JST"," Tokyo confirmed 317 new COVID-19 cases on June 28, up 81 from a week ago. It marks the ninth consecutive day the daily count exceeded the previous week's figure. Metropolitan government officials also reported four new deaths from the novel coronavirus in the capital the same day. The latest tally brought Tokyo's daily average of new infections over the week through June 28 to 489 cases, or 124.8 percent of the figure for the preceding week. The average number of diagnostic tests conducted in the capital over the three days through June 27 stood at 4,417.7. Of the 317 new cases, 95 patients are in their 20s, followed by 61 in their 30s, 49 in their 50s and 47 in their 40s. There are 20 patients aged 65 or older. The number of serious cases in Tokyo requiring ventilators or extracorporeal membrane oxygenation, also known as an ECMO lung bypass machine, rose by four from the previous day to 41 on June 28, officials said.",https://www.asahi.com//ajw/articles/14382879
0,"Olympic bus drivers, security guards struggle to get vaccinated",['THE ASAHI SHIMBUN'],"June 28, 2021 at 17:40 JST"," Several hundred thousand people who are expected to play direct roles in the Tokyo Olympics next month have been left out of the loop in the accelerated vaccination process for athletes, organizers and volunteers. Plans to inoculate shuttle bus drivers, security guards and other mainly subcontracted workers before the Games are nowhere in sight. Organizers of the Tokyo Olympics and Paralympics have been informed of the problem, but they have offered no solutions and only reiterated that the Summer Games will “be safe and secure” from the COVID-19 crisis, sources said. In Gifu Prefecture, 27 bus companies are expected to dispatch up to 79 buses and 280 drivers for the Olympic and Paralympic Games. “Almost all of the bus drivers have yet to receive a COVID-19 vaccination voucher,” Yoshiaki Kishino, chairman of the Gifu Prefecture Tourism Federation, said on June 18 at a prefectural government meeting on dealing with the novel coronavirus pandemic. Citing the fact that the vaccine must be administered twice to be effective, Kishino said, “It will not happen in time for the Olympics.” He said he is seeking help from the prefectural officials: “We are trapped in a difficult situation.” Kishino also said the problem “should have been dealt with by” the Tokyo Organizing Committee of the Olympic and Paralympic Games. But the committee had not given him any answer, except “it’s under review,” he said. Sho Hiraki, vice governor of the central Japan prefecture, made an impromptu decision to administer the first shot to about 130 bus drivers at the Gifu prefectural government’s mass vaccination center by July 4. Bus drivers in Mie Prefecture in the Kinki region have faced a similar challenge. Fourteen bus companies in the prefecture will dispatch vehicles and drivers to help out in the operation of Tokyo Olympics. But many drivers are still waiting to receive a vaccine shot, according to the Mie Bus Association. “Some drivers might say, ‘I don’t mind transporting vaccinated athletes, but I won’t go if it’s a pick-up and drop-off service for members of the media who may not have been vaccinated,’” a representative of the association said. The Olympic organizing committee has not made vaccinations mandatory for people involved in the sporting events. However, the committee has started a project to inoculate staff members and volunteers whose tasks require them to be frequently in close proximity to athletes. Subcontracted worker, such as bus drivers, are left to get the vaccine on their own. In many cases, such subcontractors have relied on their local government’s mass vaccination program. A representative of a bus company in Nagoya said options are limited for local bus companies. Only a few major bus companies in the capital of Aichi Prefecture can inoculate their employees through company-wide vaccination programs, the representative said. The representative’s company is expected to dispatch drivers to the Olympics, but it has no clear idea on when they can get vaccinated. “We are hoping our drivers are allowed to get the vaccine through the workplace vaccination programs of other companies,” the representative said. Time is also running out for many security companies to have their workers inoculated in time for the Olympics. A man in his 30s who lives in Tokyo and is expected to work as a security guard at the Olympics said he received his first dose at a mass vaccination center. But he said many of his colleagues have been unable to even make an appointment. “Being a security guard, I will inevitably come near many and unspecified persons, such as athletes, officials and spectators,” he said. “It is scary to have many unvaccinated security people working at (the Olympics).” About 600,000 security guards are expected to work before, during and after the Olympic and Paralympic Games. The All Japan Security Service Association has asked the central government to give security guards priority in receiving the vaccine. But that has not happened. Despite the concerns of those directly involved, the Olympic organizing committee has taken the stance that there is nothing to worry about. “We have built a testing system to make the event safe without a vaccine,” a top official of the organizing committee said. “We will carefully explain to all staff members that there is no problem if they practice infection control as per usual.”",https://www.asahi.com//ajw/articles/14382758
0,More tests eyed for athletes from countries hit by Delta variant,['By TARO ONO/ Staff Writer'],"June 28, 2021 at 16:33 JST"," The government will ask athletes from six nations where the Delta variant is raging to be tested daily for COVID-19 for a week prior to departure for Japan to attend the Tokyo Olympics and Paralympics. The new measure targets athletes from India, where the highly transmissible variant of the novel coronavirus first emerged, as well as Sri Lanka, Nepal, Pakistan, Maldives and Afghanistan. The government currently requires all athletes visiting Japan for the Games to undergo COVID-19 tests twice within 96 hours before leaving their countries or regions. They will be tested again upon arrival and each day after that, in principle. Athletes from the six countries will be subject to the new requirement, in addition to the current ones. The government will also ask them not to come into contact with people other than their fellow athletes and coaches they will be traveling with within a week before departure and three days after arrival.",https://www.asahi.com//ajw/articles/14382743
0,"Testing at elderly care facilities expands, but at a snail’s pace",['By TOMOE ISHIKAWA/ Staff Writer'],"June 28, 2021 at 15:25 JST"," The central government’s bid to ramp up COVID-19 testing on caregivers and staff at eldercare facilities to prevent infection clusters has faced delays from some reluctant facilities worried that more rigorous testing could cause staff shortages. The health ministry has urged local governments to conduct regular PCR tests focusing on workers at eldercare facilities, a key coronavirus battleground where most clusters are occurring. Testing has been stepped up, but slowly, with some areas running tests less frequently and many smaller facilities expressing reluctance out of fears positive results could strain their operations. “Small facilities like ours do not have many workers, so it will be difficult to operate the facility if someone tests positive,” said the head of a Tokyo facility. Infections have spread at eldercare facilities like wildfire, government figures show. According to data collected by the health ministry, 1,711 infection clusters had broken out at elderly care facilities nationwide, as of June 21. That number was the largest among the categories, exceeding those from restaurants and bars and health care facilities. In early May, it was revealed that 38 residents died at elderly care facilities in Kadoma, Osaka Prefecture, and Kobe. Focusing testing on workers at such facilities is a measure aimed at discovering asymptomatic COVID-19 patients quicker to prevent infection clusters from occurring. The ministry’s guidelines request that facilities located in areas under a state of emergency or pre-emergency measures test their workers once a week, or at least once every two weeks. But the frequency of testing varies by municipality. During the period from February to March this year, the ministry announced a policy to conduct caregiver-focused testing at facilities in 10 prefectures under the state of emergency. But only about 15,000 facilities actually did the testing, about half of the ministry’s target. In response, the ministry issued a request to facilities in late March to conduct focused testing more actively between April and June. The ministry expanded the number of target facilities to 76,656, including those taking care of disabled people. As of June 2, 47,400 facilities, or 62 percent, requested the testing. The ministry said many facilities reported that they would not conduct the testing due to concerns it would leave them short of workers. Many larger facilities have done the testing, while smaller facilities have tended to express concerns about staff testing positive if they run the tests, the ministry said. “I feel nervous when I conduct tests,” the head of the Tokyo care facility said. “I feel uneasy about whether the facility can stay in operation if someone tests positive for the virus. There are staff who are stressed about the testing.” The facility nonetheless complied with the ministry’s request and tested its staff, but voiced concerns that the burden of testing has increased. An infection cluster broke out at that facility last year, but staff who did not contract the virus had managed to keep the facility running. Yasuhiro Yuki, a social welfare professor at Shukutoku University, said that small facilities do not have close ties with other facilities, and it is difficult for them to bolster their workforce amid a labor crunch if someone tests positive. “There should be a measure for securing manpower (for these small facilities), such as appropriating a budget to dispatch caretakers to a facility that has a COVID-19 case,” he said.",https://www.asahi.com//ajw/articles/14382671
0,Nishimura: New Tokyo state of emergency likely amid virus surge,['By KOHEI MORIOKA/ Staff Writer'],"June 28, 2021 at 15:19 JST"," The government will declare another COVID-19 state of emergency for areas now under pre-emergency measures if needed, the state minister of economic revitalization indicated on June 27 amid a resurgence in infections in Tokyo. ""The number of new infections in the capital and other areas in the greater Tokyo metropolitan area is clearly trending upward,” Yasutoshi Nishimura, who is also in charge of the government’s novel coronavirus measures, said during a program aired by Japan Broadcasting Corp. (NHK) that day. Tokyo reported 534 new COVID-19 cases on June 26, the seventh consecutive day its daily tally topped that of the week before. Tokyo is now covered by pre-emergency measures after the central government lifted an emergency declaration for the metropolis on June 20. “We should not hesitate to issue a state of emergency for areas under pre-emergency measures if necessary,” Nishimura said. Following the lifting of the emergency declaration, the Tokyo metropolitan government began allowing bars and restaurants to serve alcohol if they meet certain conditions. But Nishimura hinted at another ban on serving alcohol, saying the government needs to consider taking stronger anti-virus measures. Health minister Norihisa Tamura made a similar remark about the possibility of another state of emergency at a news conference on June 25, saying, “It’s certainly an option if there are signs of a resurgence in infections.""",https://www.asahi.com//ajw/articles/14382698
0,COVID-19 cases (June 27),['THE ASAHI SHIMBUN'],"June 28, 2021 at 12:19 JST",,https://www.asahi.com//ajw/articles/14382685
0,The pandemic is making school life a lot harder for children,['THE ASAHI SHIMBUN'],"June 28, 2021 at 07:00 JST"," More than a year of the pandemic upending students’ lives has led to reports of an increasing number frequently visiting school nurse’s offices, skipping classes and generally struggling to adapt to their situations. Education facilities imposed strict behavioral restrictions in efforts to contain the pandemic, piling extra stress onto students at elementary and junior high schools who are finding it difficult to share their troubles with adults, according to new data. School nurses, who witness firsthand the effect the pandemic is having on students every day, are feeling a growing sense of crisis about the increasing number of kids unable to cope with the change. “I am surprised at the continuous stream of students coming to the nurse’s office,” said a school nurse at a public junior high school in the Kanto region around Tokyo. The nurse said that every day following the May holiday period, a succession of no fewer than 10 students stopped by their office once morning classes began. The students usually complain they are “feeling sick” and have stomachaches. The academy has fewer than 300 students, but nearly 20 of them--including some who had refused to go to school before the pandemic--are routinely late for class, go home early, and are absent from school for prolonged periods. “The number is larger than usual,” the school nurse said. One student said he did not sleep at all on one school night because he stayed up and “played a video game until morning.” This is just one of many cases of students struggling with being banned from going out and finding themselves increasingly immersed in online environments and video games. “The extension of life with the coronavirus has had an impact on children’s bodies and minds,” said the school nurse. One publicly run elementary school in Tokyo with almost 500 students said nearly 20 children have been unable to leave the nurse’s office, or often do not appear at class. Under normal circumstances, only a few students a year show these troubling signs. The 30-year-old nurse there said the “influence of last year’s nationwide school closure remains,” and noted that educators were unable to determine how their students’ lives and behavior had changed over that period, even though they phoned their homes. It became impossible for the school to respond quickly to family rifts and students’ deteriorating mental health, resulting in some cases of refusing to attend school, according to educators. As all school trips and other events were canceled last year, students were deprived of opportunities to improve their psychological states and human relationships. “Teachers also lost chances to effectively reach out to children,” said the school nurse. “If this continues, it would be no wonder if people consider school to be an unattractive place to go to.” PHYSICAL AND MENTAL STRAIN A teacher at a ward-run junior high school in Tokyo in his 50s said that more children are eating poorly now. Several children in each class ask teachers to reduce the volume of their school lunch and return part of the served meals. He is also concerned about the fact that an increasing number of students are being absent from school about once a week or so, citing reasons such as headaches and feeling ill. Each situation is different depending on the school and region. The school nurse at a public junior high in Saitama Prefecture argued that “fewer students than previously reported are becoming sick now, thanks to the thorough surgical mask use and hand washing practice.” Megumi Tsukakoshi, 49, a school nurse at the junior high school affiliated with a state-run college in the capital, said the physical and mental toll that the prolonged health crisis is exacting on children “will start to fully surface.” Reports of struggling students unwilling to attend class or skipping school tend to crop up more at the junior high level after the end of the summer vacation period. But this year, those instances have been on the rise since the May holiday period. “There are fewer opportunities to engage students in a way that is stimulating under the various restrictions, sapping students’ mental energy,” Tsukakoshi said. According to Tsukakoshi, maladjusted kids often suffer from a lack of emotional energy, and adults remaining unaware of their problems could lead to serious adverse outcomes, including suicides. “Maladjustment is an important sign,” Tsukakoshi warned. “It is essential for us to allocate more time to listen to each child’s problems in person.” LESS PATIENCE, HARDER TO CONCENTRATE Troubling statistics suggest the burden the pandemic is placing on students is getting worse. Hideyuki Tobe, a professor of school health studies at Saitama University, conducted a survey between March and early May this year of 500 school nurses across Japan. More than half said that “more children are failing to adapt to school life, such as by refusing to go to school, frequenting nurses’ offices or feeling reluctant to attend class,” at 54 percent. The ratio in the same survey in July-September last year was 43 percent. Respondents could choose more than one answer. Those who reported “signs of excessive use of video games and the internet” among students accounted for 76 percent--around the same level as in the previous study. According to the survey team, children are “shying away from personal contact while they are wearing masks, rendering it difficult to build strong friendships with others.” As events are also called off, students “cannot find something to pour their passions into.” The team concluded that the “continuation of such school days are behind the issue.” The National Center for Child Health and Development carried out a survey from February through March that asked 501 elementary, junior high and senior high school students about the emotional and mental strain caused by the pandemic. Twenty percent of the students reported harming themselves or their family members, while 37 percent said they now “become easily irritated” and 32 percent said they “cannot concentrate these days.” All those figures increased from the previous study held between September and October last year, in which the rates of students who reported injuries, irritation and being unable to concentrate were 7 percent, 30 percent, and 26 percent, respectively. Respondents who said “it has become more difficult to talk to or consult with teachers and other adults” over the last year reached 51 percent. Mayumi Hangai, a pediatrician who was involved in the survey, said children are resorting to abusive behavior because they do not have an outlet for their emotions under the strenuous circumstances. “Being stuck at home, children feel stress and cannot find ways to relieve it,” said Hangai. “What is significant is discussing how to address the issue together, such as preparing opportunities to listen to children’s opinions over the cancellation of club activities and school events.” (This article was written by Yukihito Takahama and Azusa Mishima.)",https://www.asahi.com//ajw/articles/14374113
0,386 new virus cases in Tokyo; 8th day in row of rising trend,['THE ASAHI SHIMBUN'],"June 27, 2021 at 18:42 JST"," Tokyo reported 386 fresh cases of novel coronavirus infection June 27, 10 more than a week ago and the eighth consecutive day for the figure to exceed that of the previous week. One death from COVID-19 was also confirmed in the capital the same day, metropolitan health officials said. The seven-day average of new cases over the week through June 27 came to 477.4 in Tokyo, an increase of 23 percent of the figure for the preceding week. Of the 386 latest cases, 108 patients were in their 20s, followed by 74 in their 30s, 68 in their 40s and 43 in their 50s. Twenty-six patients were aged 65 or older. Serious cases requiring ventilators or extracorporeal membrane oxygenation, also known as an ECMO lung bypass machine, stood at 37, the same as the day before.",https://www.asahi.com//ajw/articles/14382266
0,"Crowds rejoice, hit streets after partial lifting of curbs",['THE ASAHI SHIMBUN'],"June 27, 2021 at 16:07 JST"," City dwellers celebrated their first weekend in weeks of not living under a full state of emergency by hitting the streets, eating and drinking out and shopping where they pleased, things they used to take for granted. Streets in Tokyo, Osaka and other large cities were buzzing with crowds June 26 following the partial lifting of curbs in the capital and eight prefectures. Despite the seemingly relaxed atmosphere, eased precautionary restrictions remain in place for most of the prefectures. Still, for most people it was a chance to finally let their guard down, albeit slightly perhaps as just about everybody dons a face mask before venturing out. Social distancing must still be observed, which means fewer seats, tables and customers at bars, restaurants and elsewhere. Tokyo was placed under an initial 17-day state of emergency, the third to be imposed, on April 25. It was supposed to end May 11 but then extended, first to May 31 and later to June 20. Other prefectures faced similar curbs. Health experts have voiced extreme concern about people being able to mingle more freely again in public in the leadup to the Tokyo Olympics next month and growing signs that COVID-19 cases are rising in the Tokyo metropolitan area, along with the presence of more contagious coronavirus variants. But judging by the crowds of pedestrians at the iconic Scramble Crossing at 1:30 p.m. outside Tokyo's Shibuya Station, some even spilling into the road, people are fed up with repeated warnings about safety and simply wanted to have a good time. Benches set up around the nearby world-renowned Hachiko dog statue, a popular meeting spot for couples, were all occupied. A salesclerk at a clothing shop near the packed crossing was not impressed by the return of large crowds, however. “People seem to be letting down their guard,” she said. “I am really worried about a big increase in new cases.” And so, she should be. The latest weekly figure for COVID-19 cases in Tokyo already points to a rebound. Tokyo recorded 534 new cases on June 26, 146 more than a week earlier, according to the metropolitan government. The daily average of new cases over the week through June 26 marked an increase of 26 percent from the preceding week. An estimate of pedestrian flow, gleaned from locations of NTT Docomo Inc. mobile phone users, showed a sharp uptick at nine sites surveyed across the nation on June 26, compared with a week earlier. Between 9 a.m. and 5 p.m. that day, 48 percent more people congregated in front of JR Osaka Station, far larger than at other sites surveyed. It was 24 percent near the Shijokawaramachi entertainment district in Kyoto; 12 percent near the Shibuya Scramble Crossing in Tokyo; 16 percent in the vicinity of JR Tokyo Station; 16 percent around JR Nagoya Station; 10 percent near JR Sannomiya Station in Kobe; and 12 percent in the Tenjin district in Fukuoka. Okinawa, the only prefecture still under a state of emergency, also saw an uptick in pedestrian traffic at 6 percent in Kokusaidori, the main street in the prefectural capital of Naha.",https://www.asahi.com//ajw/articles/14382194
0,COVID-19 cases (June 26),['THE ASAHI SHIMBUN'],"June 27, 2021 at 12:06 JST",,https://www.asahi.com//ajw/articles/14382183
